DATE,CLOSE,HIGH,LOW
12/05/2023,578.15,580.75,571.55
15/05/2023,581.9,584.0,574.65
16/05/2023,586.3,590.4,582.0
17/05/2023,586.3,590.5,579.5
18/05/2023,574.2,593.9,571.4
19/05/2023,575.15,586.25,569.9
22/05/2023,577.15,580.3,573.45
23/05/2023,581.6,583.7,576.8
24/05/2023,582.7,585.25,578.25
25/05/2023,581.25,582.9,577.0
26/05/2023,586.0,587.75,580.55
29/05/2023,595.0,596.4,588.05
30/05/2023,592.8,595.5,591.5
31/05/2023,579.85,584.8,577.5
01/06/2023,582.75,586.4,581.0
02/06/2023,587.2,588.9,583.0
05/06/2023,587.2,589.8,586.0
06/06/2023,585.35,588.9,583.0
07/06/2023,589.2,590.6,586.0
08/06/2023,588.5,593.95,586.35
09/06/2023,578.7,589.1,576.75
12/06/2023,578.65,581.5,577.7
13/06/2023,576.4,581.4,574.25
14/06/2023,576.55,578.55,575.25
15/06/2023,566.5,576.7,565.25
16/06/2023,571.25,574.7,567.05
19/06/2023,568.85,572.75,565.9
20/06/2023,567.4,569.45,562.55
21/06/2023,566.35,569.5,565.65
22/06/2023,562.95,569.0,561.05
23/06/2023,554.6,562.1,553.8
26/06/2023,557.05,558.5,554.5
27/06/2023,566.1,567.95,555.65
28/06/2023,569.8,574.0,568.55
30/06/2023,572.85,574.0,570.2
03/07/2023,585.45,586.35,573.9
04/07/2023,589.25,595.95,582.25
05/07/2023,590.6,593.7,588.2
06/07/2023,592.5,593.5,589.1
07/07/2023,593.6,595.5,585.5
10/07/2023,592.6,599.8,590.25
11/07/2023,588.55,595.95,587.35
12/07/2023,589.25,594.5,588.2
13/07/2023,585.65,598.0,583.35
14/07/2023,584.4,591.3,580.7
17/07/2023,601.1,602.85,584.2
18/07/2023,592.35,604.05,588.75
19/07/2023,601.45,602.4,592.0
20/07/2023,610.05,610.8,598.75
21/07/2023,615.1,619.5,609.0
24/07/2023,617.65,621.9,614.3
25/07/2023,609.6,621.8,604.2
26/07/2023,615.15,616.35,609.15
27/07/2023,616.55,621.25,613.1
28/07/2023,616.05,619.9,613.6
31/07/2023,620.2,621.0,614.5
01/08/2023,611.85,620.85,610.6
02/08/2023,598.45,610.5,594.1
03/08/2023,590.5,600.85,585.0
04/08/2023,573.3,598.7,571.4
07/08/2023,567.9,577.0,566.65
08/08/2023,573.1,574.25,568.45
09/08/2023,573.75,575.0,568.35
10/08/2023,573.65,577.6,570.1
11/08/2023,574.15,579.0,572.0
14/08/2023,560.8,573.0,558.6
16/08/2023,565.35,566.4,554.0
17/08/2023,572.15,573.15,564.0
18/08/2023,572.95,575.25,567.4
21/08/2023,571.7,575.55,570.75
22/08/2023,568.5,574.45,567.5
23/08/2023,576.9,577.95,566.0
24/08/2023,576.95,582.0,575.55
25/08/2023,569.95,575.3,567.2
28/08/2023,572.85,574.8,569.2
29/08/2023,574.85,576.3,571.85
30/08/2023,567.4,577.7,566.1
31/08/2023,561.35,570.3,559.4
01/09/2023,569.55,571.2,562.1
04/09/2023,575.55,576.35,568.45
05/09/2023,573.0,578.25,571.35
06/09/2023,570.5,574.25,568.0
07/09/2023,579.05,581.0,568.0
08/09/2023,583.45,588.5,579.7
11/09/2023,591.7,592.3,585.35
12/09/2023,588.35,594.25,584.65
13/09/2023,596.45,598.0,583.45
14/09/2023,597.3,603.7,595.2
15/09/2023,598.8,600.7,595.2
18/09/2023,603.95,608.4,597.05
20/09/2023,601.1,606.8,599.4
21/09/2023,588.15,606.6,584.65
22/09/2023,598.15,602.0,591.4
25/09/2023,594.05,601.5,590.45
26/09/2023,594.4,595.0,591.25
27/09/2023,589.75,594.3,588.2
28/09/2023,589.95,595.2,588.85
29/09/2023,598.55,600.0,591.3
03/10/2023,602.95,604.9,589.6
04/10/2023,586.25,600.45,584.45
05/10/2023,592.15,594.35,587.1
06/10/2023,594.25,598.95,592.2
09/10/2023,585.1,589.0,581.55
10/10/2023,591.65,595.0,585.75
11/10/2023,588.35,597.0,587.6
12/10/2023,586.05,593.0,585.0
13/10/2023,576.15,581.3,574.8
16/10/2023,575.65,578.75,571.5
17/10/2023,576.45,579.95,575.3
18/10/2023,572.65,579.25,569.35
19/10/2023,571.2,574.0,567.0
20/10/2023,563.1,570.0,562.1
23/10/2023,552.95,566.0,551.0
25/10/2023,556.2,560.8,553.6
26/10/2023,547.0,552.9,543.2
27/10/2023,561.15,562.5,550.0
30/10/2023,565.2,566.7,556.5
31/10/2023,565.55,569.5,563.15
01/11/2023,566.4,569.65,563.85
02/11/2023,572.1,575.45,567.6
03/11/2023,578.15,579.5,573.45
06/11/2023,574.35,582.5,573.25
07/11/2023,579.75,581.2,572.6
08/11/2023,580.3,582.6,579.0
09/11/2023,578.35,581.85,576.5
10/11/2023,579.5,581.0,575.4
12/11/2023,581.3,584.75,580.1
13/11/2023,581.35,582.5,575.2
15/11/2023,584.7,588.0,582.6
16/11/2023,584.65,588.0,582.9
17/11/2023,563.05,574.5,562.1
20/11/2023,563.75,566.8,560.6
21/11/2023,561.5,566.65,561.0
22/11/2023,558.95,564.5,555.15
23/11/2023,559.95,563.5,558.3
24/11/2023,560.35,562.45,559.25
28/11/2023,564.45,565.2,561.1
29/11/2023,568.6,569.0,565.1
30/11/2023,564.75,570.2,563.65
01/12/2023,571.75,574.2,566.55
04/12/2023,594.7,596.0,584.55
05/12/2023,608.25,611.3,595.05
06/12/2023,608.45,614.0,604.55
07/12/2023,611.7,612.55,605.0
08/12/2023,614.15,616.8,605.35
11/12/2023,614.25,619.9,613.1
12/12/2023,612.4,617.95,610.8
13/12/2023,619.85,620.5,611.65
14/12/2023,623.65,627.75,622.4
15/12/2023,648.25,650.0,619.85
18/12/2023,648.5,655.65,642.4
19/12/2023,655.4,659.6,640.25
20/12/2023,636.45,660.4,633.95
21/12/2023,643.75,648.95,627.5
22/12/2023,636.75,649.4,635.15
26/12/2023,638.05,641.3,635.65
27/12/2023,648.55,649.45,639.0
28/12/2023,651.4,653.3,646.5
29/12/2023,642.05,649.6,639.55
01/01/2024,641.35,646.9,638.0
02/01/2024,639.45,648.0,633.85
03/01/2024,643.45,648.0,635.8
04/01/2024,642.75,646.4,638.65
05/01/2024,641.95,651.75,637.75
08/01/2024,627.0,645.0,625.05
09/01/2024,625.4,634.35,624.5
10/01/2024,621.75,625.3,618.2
11/01/2024,620.2,627.15,618.5
12/01/2024,633.6,636.5,621.1
15/01/2024,640.1,645.5,636.1
16/01/2024,636.9,644.9,633.45
17/01/2024,626.0,636.8,623.0
18/01/2024,628.3,633.45,619.05
19/01/2024,627.75,635.5,624.7
20/01/2024,631.4,633.8,624.1
23/01/2024,605.1,634.9,600.65
24/01/2024,618.3,622.35,603.1
25/01/2024,612.75,623.8,606.25
29/01/2024,622.95,629.5,615.6
30/01/2024,626.75,633.5,624.2
01/02/2024,647.65,652.95,633.25
